itemID,category,definition,gloss,uni_lemma,item,choices,type
item_1,sounds,ai-ai,oh,oh,ai-ai,understands; produces,word
item_2,sounds,bää-ä bää-ä,baa baa,baa baa,bää-ä bää-ä,understands; produces,word
item_3,sounds,hau hau,woof woof,woof woof,hau hau,understands; produces,word
item_4,sounds,kvaak kvaak,quack quack,quack quack,kvaak kvaak,understands; produces,word
item_5,sounds,murrr,grrr,grrr,murrr,understands; produces,word
item_6,sounds,ohhoh,oh,oh,ohhoh,understands; produces,word
item_7,sounds,tsuk tsuk,choo choo,choo choo,tsuk tsuk,understands; produces,word
item_8,sounds,ammuu,moo,moo,ammuu,understands; produces,word
item_9,sounds,drnn drnn,vroom,vroom,drnn drnn,understands; produces,word
item_10,sounds,kukkokiekuu,cockadoodledoo,cockadoodledoo,kukkokiekuu,understands; produces,word
item_11,sounds,miauu,meow,meow,miauu,understands; produces,word
item_12,sounds,nam nam,yum yum,yum yum,nam nam,understands; produces,word
item_13,sounds,shh,shh,shh,shh,understands; produces,word
item_14,animals,ampiainen,bee,bee,ampiainen,understands; produces,word
item_15,animals,apina,ape,monkey,apina,understands; produces,word
item_16,animals,hevonen,horse,horse,hevonen,understands; produces,word
item_17,animals,hirvi,moose,moose,hirvi,understands; produces,word
item_18,animals,hämähäkki,spider,spider,hämähäkki,understands; produces,word
,animals,kana,chicken (animal),chicken (animal),kana,understands; produces,word
item_37,animals,kettu,fox,fox,kettu,understands; produces,word
item_38,animals,kissa,cat,cat,kissa,understands; produces,word
,animals,kukko,cock,rooster,kukko,understands; produces,word
item_22,animals,käärme,snake,snake,käärme,understands; produces,word
item_23,animals,lehmä,cow,cow,lehmä,understands; produces,word
item_24,animals,leppäkerttu,ladybird,ladybug,leppäkerttu,understands; produces,word
item_25,animals,mato,worm,worm,mato,understands; produces,word
item_26,animals,norsu,elephant,elephant,norsu,understands; produces,word
item_27,animals,perhonen,butterfly,butterfly,perhonen,understands; produces,word
item_28,animals,possu,pig,pig,possu,understands; produces,word
item_29,animals,pöllö,owl,owl,pöllö,understands; produces,word
item_30,animals,siili,hedgehog,hedgehog,siili,understands; produces,word
item_31,animals,tiikeri,tiger,tiger,tiikeri,understands; produces,word
item_32,animals,ankka,duck,duck,ankka,understands; produces,word
item_33,animals,eläin,animal,animal,eläin,understands; produces,word
item_34,animals,hiiri,mouse,mouse,hiiri,understands; produces,word
item_35,animals,hyttynen,mosquito,mosquito,hyttynen,understands; produces,word
item_36,animals,kala,fish,fish (animal),kala,understands; produces,word
item_19,animals,karhu,bear,bear,karhu,understands; produces,word
item_20,animals,kirahvi,giraffe,giraffe,kirahvi,understands; produces,word
item_21,animals,koira,dog,dog,koira,understands; produces,word
item_39,animals,kärpänen,fly,fly (animal),kärpänen,understands; produces,word
item_40,animals,lammas,sheep,sheep,lammas,understands; produces,word
item_41,animals,leijona,lion,lion,leijona,understands; produces,word
item_42,animals,lintu,bird,bird,lintu,understands; produces,word
item_43,animals,muurahainen,ant,ant,muurahainen,understands; produces,word
item_44,animals,orava,squirrel,squirrel,orava,understands; produces,word
item_45,animals,pingviini,penguin,penguin,pingviini,understands; produces,word
item_46,animals,pupu,bunny,bunny,pupu,understands; produces,word
item_47,animals,sammakko,frog,frog,sammakko,understands; produces,word
item_48,animals,susi,wolf,wolf,susi,understands; produces,word
item_49,animals,tipu,chick,chick,tipu,understands; produces,word
item_50,vehicles,auto,car,car,auto,understands; produces,word
item_51,vehicles,juna,train,train,juna,understands; produces,word
item_52,vehicles,laiva,ship,boat,laiva,understands; produces,word
item_53,vehicles,mopo,moped,motorcycle,mopo,understands; produces,word
item_58,vehicles,polkupyörä,bicycle,bicycle,polkupyörä,understands; produces,word
item_54,vehicles,rattaat,pushchair,stroller,rattaat,understands; produces,word
item_55,vehicles,bussi/linja-auto,bus,bus,bussi/linja-auto,understands; produces,word
item_56,vehicles,kuorma-auto,truck,truck,kuorma-auto,understands; produces,word
item_57,vehicles,lentokone,aeroplane,airplane,lentokone,understands; produces,word
,vehicles,paloauto,fire truck,firetruck,paloauto,understands; produces,word
,vehicles,pulkka,sled,sled,pulkka,understands; produces,word
item_59,vehicles,traktori,tractor,tractor,traktori,understands; produces,word
,toys,ilmapallo,balloon,balloon,ilmapallo,understands; produces,word
item_64,toys,kynä,pencil,pen/pencil,kynä,understands; produces,word
item_61,toys,lapio,spade,spade,lapio,understands; produces,word
,toys,muovailuvaha,modelling clay,clay,muovailuvaha,understands; produces,word
item_62,toys,nukke,doll,doll,nukke,understands; produces,word
item_66,toys,palikka,brick,blocks,palikka,understands; produces,word
,toys,peli,game,game,peli,understands; produces,word
item_67,toys,ämpäri/sanko,bucket,bucket,ämpäri/sanko,understands; produces,word
item_60,toys,kirja,book,book,kirja,understands; produces,word
,toys,lahja,gift,present,lahja,understands; produces,word
,toys,maila,bat,bat (object),maila,understands; produces,word
item_65,toys,nalle,teddy bear,teddybear,nalle,understands; produces,word
,toys,palapeli,puzzle,puzzle,palapeli,understands; produces,word
item_63,toys,pallo,ball,ball,pallo,understands; produces,word
,toys,värikynä,pencil crayon,pen/pencil,värikynä,understands; produces,word
item_68,food_drink,appelsiini,orange,orange (food),appelsiini,understands; produces,word
item_69,food_drink,herne,pea,peas,herne,understands; produces,word
item_85,food_drink,jugurtti,yoghurt,yogurt,jugurtti,understands; produces,word
item_86,food_drink,jäätelö,icecream,ice cream,jäätelö,understands; produces,word
,food_drink,kaali,cabbage,cabbage,kaali,understands; produces,word
item_87,food_drink,kakku,cake,cake,kakku,understands; produces,word
item_89,food_drink,karkki,candy,candy,karkki,understands; produces,word
,food_drink,keitto,soup,soup,keitto,understands; produces,word
,food_drink,kiisseli,custard,pudding,kiisseli,understands; produces,word
,food_drink,lakritsa,liquorice,licorice,lakritsa,understands; produces,word
item_91,food_drink,liha,meat,meat,liha,understands; produces,word
item_76,food_drink,maito,milk,milk,maito,understands; produces,word
item_77,food_drink,makkara,sausage,sausage,makkara,understands; produces,word
,food_drink,margariini,margarine,butter,margariini,understands; produces,word
item_78,food_drink,mehu,juice,juice,mehu,understands; produces,word
item_94,food_drink,omena,apple,apple,omena,understands; produces,word
,food_drink,pannukakku,pancake,pancake,pannukakku,understands; produces,word
,food_drink,perunalastu,potato chip,chips,perunalastu,understands; produces,word
,food_drink,pizza,pizza,pizza,pizza,understands; produces,word
,food_drink,pulla,bun,bun,pulla,understands; produces,word
item_80,food_drink,puuro,porridge,porridge,puuro,understands; produces,word
item_96,food_drink,ruoka,food,food,ruoka,understands; produces,word
,food_drink,salaatti,salad,salad,salaatti,understands; produces,word
,food_drink,suklaa,chocolate,chocolate,suklaa,understands; produces,word
,food_drink,suolakurkku,pickled cucumber,pickle,suolakurkku,understands; produces,word
item_97,food_drink,tomaatti,tomato,tomato,tomaatti,understands; produces,word
item_82,food_drink,velli,gruel,porridge,velli,understands; produces,word
item_83,food_drink,viili,nordic kind of sour milk,NA,viili,understands; produces,word
item_99,food_drink,voi,butter,butter,voi,understands; produces,word
item_84,food_drink,banaani,banana,banana,banaani,understands; produces,word
,food_drink,hillo,jam,jam,hillo,understands; produces,word
item_70,food_drink,juusto,cheese,cheese,juusto,understands; produces,word
,food_drink,kaakao,hot chocolate,hot chocolate,kaakao,understands; produces,word
item_71,food_drink,kahvi,coffee,coffee,kahvi,understands; produces,word
item_73,food_drink,kananmuna,egg,egg,kananmuna,understands; produces,word
,food_drink,kastike,sauce,sauce,kastike,understands; produces,word
item_74,food_drink,keksi,cookie,cookie,keksi,understands; produces,word
item_90,food_drink,kurkku,cucumber,cucumber,kurkku,understands; produces,word
item_75,food_drink,leipä,bread,bread,leipä,understands; produces,word
,food_drink,limonadi,lemonade,lemonade,limonadi,understands; produces,word
item_92,food_drink,makaroni,macaroni,pasta,makaroni,understands; produces,word
item_93,food_drink,mansikka,strawberry,strawberry,mansikka,understands; produces,word
,food_drink,marja,berry,berry,marja,understands; produces,word
,food_drink,muro,cerials,cereal,muro,understands; produces,word
,food_drink,paahtoleipä,toast,toast,paahtoleipä,understands; produces,word
item_79,food_drink,peruna,potato,potato,peruna,understands; produces,word
,food_drink,piimä,sour milk,,piimä,understands; produces,word
item_95,food_drink,porkkana,carrot,carrot,porkkana,understands; produces,word
,food_drink,purukumi,chewing gum,gum,purukumi,understands; produces,word
,food_drink,pähkinä,nut,nut,pähkinä,understands; produces,word
item_81,food_drink,rusina,raisin,raisin,rusina,understands; produces,word
,food_drink,sokeria,sugar,sugar,sokeria,understands; produces,word
,food_drink,suola,salt,salt,suola,understands; produces,word
,food_drink,tee,tea,tea,tee,understands; produces,word
,food_drink,tonnikala,tuna fish,tuna,tonnikala,understands; produces,word
item_98,food_drink,vesi,water,water (beverage),vesi,understands; produces,word
,food_drink,vitamiini,vitamin,vitamin,vitamiini,understands; produces,word
,food_drink,voileipäkeksi,cracker,cracker,voileipäkeksi,understands; produces,word
,clothing,alushousut,under pants,underpants,alushousut,understands; produces,word
,clothing,hattu/myssy,hat,hat,hattu/myssy,understands; produces,word
item_109,clothing,housut,pants,pants,housut,understands; produces,word
item_101,clothing,kaulahuivi,scarf,scarf,kaulahuivi,understands; produces,word
item_102,clothing,lapaset,mittens,mitten,lapaset,understands; produces,word
item_103,clothing,nappi,button,button,nappi,understands; produces,word
item_104,clothing,pusero,blouse,blouse,pusero,understands; produces,word
item_105,clothing,saappaat,rubberboots,boot,saappaat,understands; produces,word
,clothing,sortsit,shorts,shorts,sortsit,understands; produces,word
item_106,clothing,sukkahousut,pantyhose,tights,sukkahousut,understands; produces,word
item_115,clothing,takki,jacket,jacket,takki,understands; produces,word
item_107,clothing,vaippa,nappy,diaper,vaippa,understands; produces,word
item_108,clothing,villapaita,pullover,sweater,villapaita,understands; produces,word
,clothing,vyö,belt,belt,vyö,understands; produces,word
,clothing,haalari,overalls,overalls,haalari,understands; produces,word
,clothing,hiha,sleeve,sleeve,hiha,understands; produces,word
,clothing,huppu,hood,hood,huppu,understands; produces,word
item_110,clothing,kenkä,shoe,shoe,kenkä,understands; produces,word
item_111,clothing,mekko,dress,dress (object),mekko,understands; produces,word
item_112,clothing,paita,shirt,shirt,paita,understands; produces,word
item_113,clothing,ruokalappu,bib,bib,ruokalappu,understands; produces,word
,clothing,sadetakki,raincoat,coat,sadetakki,understands; produces,word
item_114,clothing,sukka,sock,sock,sukka,understands; produces,word
,clothing,suojapuku,smock,smock,suojapuku,understands; produces,word
,clothing,uimapuku,swimmingsuit,swimsuit,uimapuku,understands; produces,word
item_116,clothing,vetoketju,zipper,zipper,vetoketju,understands; produces,word
,clothing,villatakki,cardigan,sweater,villatakki,understands; produces,word
item_117,clothing,yöpuku,pyjamas,pajamas,yöpuku,understands; produces,word
item_118,body_parts,hammas,tooth,tooth,hammas,understands; produces,word
,body_parts,huulet,lips,lips,huulet,understands; produces,word
item_129,body_parts,kasvot,face,face,kasvot,understands; produces,word
item_130,body_parts,korva,ear,ear,korva,understands; produces,word
,body_parts,leuka,chin,chin,leuka,understands; produces,word
item_122,body_parts,nenä,nose,nose,nenä,understands; produces,word
,body_parts,pimppi,wea wea,vagina,pimppi,understands; produces,word
item_132,body_parts,polvi,knee,knee,polvi,understands; produces,word
item_133,body_parts,pylly,bum,butt,pylly,understands; produces,word
item_134,body_parts,silmä,eye,eye,silmä,understands; produces,word
item_135,body_parts,suu,mouth,mouth,suu,understands; produces,word
item_136,body_parts,varvas,toe,toe,varvas,understands; produces,word
,body_parts,hiukset,hair,hair,hiukset,understands; produces,word
item_119,body_parts,jalka,foot,foot,jalka,understands; produces,word
item_120,body_parts,kieli,tongue,tongue,kieli,understands; produces,word
item_121,body_parts,käsi,hand,hand,käsi,understands; produces,word
item_131,body_parts,napa,bellybutton,belly button,napa,understands; produces,word
,body_parts,olkapää,shoulder,shoulder,olkapää,understands; produces,word
,body_parts,pippeli,willy,penis,pippeli,understands; produces,word
item_123,body_parts,poski,cheek,cheek,poski,understands; produces,word
item_124,body_parts,pää,head,head,pää,understands; produces,word
item_125,body_parts,sormi,finger,finger,sormi,understands; produces,word
item_126,body_parts,tissi,boob,breast,tissi,understands; produces,word
item_127,body_parts,vatsa/maha,stomach,tummy,vatsa/maha,understands; produces,word
item_137,furniture_rooms,amme,bathtub,bathtub,amme,understands; produces,word
item_138,furniture_rooms,eteinen,corridor,corridor,eteinen,understands; produces,word
item_139,furniture_rooms,jääkaappi,fridge,refrigerator,jääkaappi,understands; produces,word
item_140,furniture_rooms,katto,ceiling,ceiling,katto,understands; produces,word
item_141,furniture_rooms,keittiö,kitchen,kitchen,keittiö,understands; produces,word
,furniture_rooms,kylpyhuone,bathroom,bathroom,kylpyhuone,understands; produces,word
item_142,furniture_rooms,makuuhuone,bedroom,bedroom,makuuhuone,understands; produces,word
item_150,furniture_rooms,autotalli,garage,garage,autotalli,understands; produces,word
item_151,furniture_rooms,ikkuna,window,window,ikkuna,understands; produces,word
item_152,furniture_rooms,kaappi,closet,closet,kaappi,understands; produces,word
item_153,furniture_rooms,keinutuoli,rocking chair,rocking chair,keinutuoli,understands; produces,word
,furniture_rooms,kuisti,porch,porch,kuisti,understands; produces,word
item_154,furniture_rooms,lattia,floor,floor,lattia,understands; produces,word
,furniture_rooms,nojatuoli,armchair,armchair,nojatuoli,understands; produces,word
item_155,furniture_rooms,olohuone,livingroom,living room,olohuone,understands; produces,word
,furniture_rooms,parveke,balcony,balcony,parveke,understands; produces,word
item_144,furniture_rooms,portaat,stairs,stairs,portaat,understands; produces,word
item_145,furniture_rooms,pöytä,table,table,pöytä,understands; produces,word
item_146,furniture_rooms,sauna,sauna,sauna,sauna,understands; produces,word
item_147,furniture_rooms,suihku,shower,shower,suihku,understands; produces,word
item_160,furniture_rooms,sänky,bed,bed,sänky,understands; produces,word
,furniture_rooms,tiskipöytä,sink,sink,tiskipöytä,understands; produces,word
item_149,furniture_rooms,uuni,oven,oven,uuni,understands; produces,word
item_143,furniture_rooms,ovi,door,door,ovi,understands; produces,word
item_156,furniture_rooms,pesukone,washing machine,washing machine,pesukone,understands; produces,word
item_157,furniture_rooms,pölynimuri,hoover,vacuum,pölynimuri,understands; produces,word
item_158,furniture_rooms,radio,radio,radio,radio,understands; produces,word
item_159,furniture_rooms,sohva,sofa,couch ,sohva,understands; produces,word
,furniture_rooms,syöttötuoli,highchair,high chair,syöttötuoli,understands; produces,word
item_148,furniture_rooms,televisio,tv,TV,televisio,understands; produces,word
item_161,furniture_rooms,tuoli,chair,chair,tuoli,understands; produces,word
item_162,furniture_rooms,vessa,toilet,bathroom,vessa,understands; produces,word
item_163,household,avaimet,keys,key,avaimet,understands; produces,word
item_164,household,hammasharja,toothbrush,toothbrush,hammasharja,understands; produces,word
,household,kamera,camera,camera,kamera,understands; produces,word
,household,kannu,jug,jug,kannu,understands; produces,word
item_166,household,kello,clock,clock,kello,understands; produces,word
,household,kortti,card,card,kortti,understands; produces,word
item_167,household,kuppi,cup,cup,kuppi,understands; produces,word
item_168,household,lamppu,lamp,lamp,lamppu,understands; produces,word
item_179,household,laukku,bag,bag,laukku,understands; produces,word
,household,liima,glue,glue,liima,understands; produces,word
item_180,household,lusikka,spoon,spoon,lusikka,understands; produces,word
,household,maljakko,vase,vase,maljakko,understands; produces,word
,household,naula,nail,nail (object),naula,understands; produces,word
item_182,household,paperi,paper,paper,paperi,understands; produces,word
item_183,household,peitto,blanket,blanket,peitto,understands; produces,word
item_173,household,potta,potty,potty,potta,understands; produces,word
item_185,household,pullo,bottle,bottle,pullo,understands; produces,word
item_186,household,raha,money,money,raha,understands; produces,word
item_187,household,roska,rubbish,trash,roska,understands; produces,word
item_188,household,sakset,scissors,scissors,sakset,understands; produces,word
item_194,household,silmälasit,eyeglasses,glasses,silmälasit,understands; produces,word
item_195,household,tutti,pacifier,pacifier,tutti,understands; produces,word
,household,valokuva,photograph,photo,valokuva,understands; produces,word
item_196,household,veitsi,knife,knife,veitsi,understands; produces,word
item_174,household,haarukka,fork,fork,haarukka,understands; produces,word
item_175,household,harja,brush,brush (object),harja,understands; produces,word
item_165,household,kampa,comb,comb (object),kampa,understands; produces,word
item_176,household,kattila,pot,pot,kattila,understands; produces,word
,household,kori,basket,basket,kori,understands; produces,word
,household,kukkaruukku,flowerpot,flower pot,kukkaruukku,understands; produces,word
item_178,household,laatikko,box,box,laatikko,understands; produces,word
,household,lasi,glass,glass,lasi,understands; produces,word
item_169,household,lautanen,plate,plate,lautanen,understands; produces,word
,household,liina,cloth,cloth,liina,understands; produces,word
item_170,household,lääke,medicine,medicine,lääke,understands; produces,word
item_181,household,matto,carpet,carpet,matto,understands; produces,word
item_171,household,ovikello,doorbell,doorbell,ovikello,understands; produces,word
item_172,household,peili,mirror,mirror,peili,understands; produces,word
,household,pesusieni,sponge,sponge,pesusieni,understands; produces,word
item_184,household,puhelin,telephone,telephone,puhelin,understands; produces,word
item_191,household,pyyhe,towel,towel,pyyhe,understands; produces,word
item_192,household,rasva,cream,lotion,rasva,understands; produces,word
item_193,household,saippua,soap,soap,saippua,understands; produces,word
,household,sateenvarjo,umbrella,umbrella,sateenvarjo,understands; produces,word
item_189,household,taulu,painting,painting,taulu,understands; produces,word
item_190,household,tyyny,pillow,pillow,tyyny,understands; produces,word
,household,vasara,hammer,hammer,vasara,understands; produces,word
,household,verho,curtain,curtain,verho,understands; produces,word
item_197,outside,aurinko,sun,sun,aurinko,understands; produces,word
item_209,outside,hiekka,sand,sand,hiekka,understands; produces,word
,outside,huoltoasema,gas station,gas station,huoltoasema,understands; produces,word
,outside,eläintarha,zoo,zoo,eläintarha,understands; produces,word
item_198,outside,hiekkalaatikko,sandbox,sandbox,hiekkalaatikko,understands; produces,word
,outside,juhlat,party,party,juhlat,understands; produces,word
item_210,outside,jää,ice,ice,jää,understands; produces,word
item_199,outside,kauppa,shop,store,kauppa,understands; produces,word
,outside,kesämökki,summer cottage,cabin,kesämökki,understands; produces,word
item_212,outside,kivi,stone,stone,kivi,understands; produces,word
item_213,outside,koulu,school,school,koulu,understands; produces,word
item_214,outside,kuu,moon,moon,kuu,understands; produces,word
,outside,lippu,flag,flag,lippu,understands; produces,word
item_215,outside,lumi,snow,snow,lumi,understands; produces,word
item_204,outside,lätäkkö,puddle,puddle,lätäkkö,understands; produces,word
item_216,outside,piha,yard,yard,piha,understands; produces,word
item_205,outside,puisto,garden,park,puisto,understands; produces,word
item_206,outside,päiväkoti,day care center,nursery,päiväkoti,understands; produces,word
,outside,retki,picnic,picnic,retki,understands; produces,word
item_207,outside,sade,rain,rain,sade,understands; produces,word
item_208,outside,talo,house,house,talo,understands; produces,word
,outside,työpaikka,workplace,work (place),työpaikka,understands; produces,word
,outside,katu,street,street,katu,understands; produces,word
item_211,outside,keinu,swing,swing (object),keinu,understands; produces,word
item_200,outside,kirkko,church,church,kirkko,understands; produces,word
item_201,outside,koti,home,home,koti,understands; produces,word
item_202,outside,kukka,flower,flower,kukka,understands; produces,word
,outside,leikkipuisto,playground,playground,leikkipuisto,understands; produces,word
item_203,outside,liukumäki,slide,slide (object),liukumäki,understands; produces,word
,outside,lumiukko,snowman,snowman,lumiukko,understands; produces,word
,outside,metsä,forest,forest,metsä,understands; produces,word
,outside,posti,post,post office,posti,understands; produces,word
item_217,outside,puu,tree,tree,puu,understands; produces,word
item_218,outside,ranta,shore,beach,ranta,understands; produces,word
,outside,ruoho,grass,grass,ruoho,understands; produces,word
