itemID,category,item,definition,choices,type,gloss,uni_lemma
item_1,sounds,ai-ai,ai-ai,produces,word,oh,oh
item_2,sounds,ammuu,ammuu,produces,word,moo,moo
item_3,sounds,bää-ä bää-ä,bää-ä bää-ä,produces,word,baa baa,baa baa
item_4,sounds,kvaak kvaak,kvaak kvaak,produces,word,quack quack,quack quack
item_5,sounds,nam nam,nam nam,produces,word,yum yum,yum yum
item_6,animals,ankka,ankka,produces,word,duck,duck
item_7,animals,hirvi,hirvi,produces,word,moose,moose
item_8,animals,kala,kala,produces,word,fish,fish (animal)
item_9,animals,kissa,kissa,produces,word,cat,cat
item_10,animals,lintu,lintu,produces,word,bird,bird
item_11,animals,pingviini,pingviini,produces,word,penguin,penguin
item_12,vehicles,kuorma-auto,kuorma-auto,produces,word,truck,truck
item_13,vehicles,laiva,laiva,produces,word,ship,boat
item_14,toys,ilmapallo,ilmapallo,produces,word,balloon,balloon
item_15,toys,lahja,lahja,produces,word,gift,present
item_16,toys,palapeli,palapeli,produces,word,puzzle,puzzle
item_17,food_drink,juusto,juusto,produces,word,cheese,cheese
item_18,food_drink,jäätelö,jäätelö,produces,word,icecream,ice cream
item_19,animals,kana,kana,produces,word,chicken (animal),chicken (animal)
item_20,food_drink,kastike,kastike,produces,word,sauce,sauce
item_21,food_drink,keksi,keksi,produces,word,cookie,cookie
item_22,food_drink,leipä,leipä,produces,word,bread,bread
item_23,food_drink,mehu,mehu,produces,word,juice,juice
item_24,food_drink,suola,suola,produces,word,salt,salt
item_25,clothing,hattu,hattu,produces,word,hat,hat
item_26,clothing,kenkä,kenkä,produces,word,shoe,shoe
item_27,clothing,takki,takki,produces,word,jacket,jacket
item_28,clothing,vetoketju,vetoketju,produces,word,zipper,zipper
item_29,body_parts,jalka,jalka,produces,word,foot,foot
item_30,body_parts,kieli,kieli,produces,word,tongue,tongue
item_31,body_parts,nenä,nenä,produces,word,nose,nose
item_32,furniture_rooms,amme,amme,produces,word,bathtub,bathtub
item_33,household,avaimet,avaimet,produces,word,keys,key
item_34,household,kattila,kattila,produces,word,pot,pot
item_35,household,kello,kello,produces,word,clock,clock
item_36,household,lamppu,lamppu,produces,word,lamp,lamp
item_37,household,lasi,lasi,produces,word,glass,glass
item_38,household,lautanen,lautanen,produces,word,plate,plate
item_39,household,puhelin,puhelin,produces,word,telephone,telephone
item_40,household,pullo,pullo,produces,word,bottle,bottle
item_41,furniture_rooms,sauna,sauna,produces,word,sauna,sauna
item_42,furniture_rooms,sohva,sohva,produces,word,sofa,couch 
item_43,furniture_rooms,sänky,sänky,produces,word,bed,bed
item_44,furniture_rooms,tuoli,tuoli,produces,word,chair,chair
item_45,outside,aurinko,aurinko,produces,word,sun,sun
item_46,outside,eläintarha,eläintarha,produces,word,zoo,zoo
item_47,outside,kauppa,kauppa,produces,word,shop,store
item_48,outside,leikkipuisto,leikkipuisto,produces,word,playground,playground
item_49,outside,piha,piha,produces,word,yard,yard
item_50,outside,pilvi,pilvi,produces,word,cloud,cloud
item_51,outside,talo,talo,produces,word,house,house
item_52,people,isä,isä,produces,word,father,daddy
item_53,people,lapsi,lapsi,produces,word,child,child
item_54,people,vauva,vauva,produces,word,baby,baby
item_55,people,äiti,äiti,produces,word,mother,mommy
item_56,games_routines,ei,ei,produces,word,no,no
item_57,games_routines,hei,hei,produces,word,bye,bye
item_58,games_routines,hyvää yötä,hyvää yötä,produces,word,good night,good night
item_59,games_routines,kylpy,kylpy,produces,word,bath,bath
item_60,games_routines,välipala,välipala,produces,word,snack,snack
item_61,action_words,hypätä,hypätä,produces,word,jump,jump
item_62,action_words,istua,istua,produces,word,sit,sit
item_63,action_words,juoda,juoda,produces,word,drink,drink (action)
item_64,action_words,juosta,juosta,produces,word,run,run
item_65,action_words,katsoa,katsoa,produces,word,look,look
item_66,action_words,löytää,löytää,produces,word,find,find
item_67,action_words,mennä,mennä,produces,word,go,go
item_68,action_words,ottaa,ottaa,produces,word,take,take
item_69,action_words,piilottaa,piilottaa,produces,word,hide,hide
item_70,action_words,poimia,poimia,produces,word,pick,pick
item_71,action_words,potkaista,potkaista,produces,word,kick,kick
item_72,action_words,pudottaa,pudottaa,produces,word,drop,drop
item_73,action_words,purra,purra,produces,word,bite,bite
item_74,action_words,rakentaa,rakentaa,produces,word,build,build
item_75,descriptive_words,hidas,hidas,produces,word,slow,slow
item_76,descriptive_words,hieno,hieno,produces,word,fine,fine
item_77,descriptive_words,iso,iso,produces,word,big,big
item_78,descriptive_words,likainen,likainen,produces,word,dirty,dirty
item_79,descriptive_words,musta,musta,produces,word,black,black
item_80,descriptive_words,tuhma,tuhma,produces,word,naughty,naughty
item_81,descriptive_words,varovainen,varovainen,produces,word,careful,careful
item_82,descriptive_words,äänekäs,äänekäs,produces,word,noisy,noisy
item_83,time_words,ennen,ennen,produces,word,before,before
item_84,time_words,huomenna,huomenna,produces,word,tomorrow,tomorrow
item_85,connecting_words,sitten,sitten,produces,word,then,then
item_86,connecting_words,taas,taas,produces,word,again,again
item_87,time_words,tänään,tänään,produces,word,today,today
item_88,pronouns,hän,hän,produces,word,he she,he
item_89,pronouns,he,he,produces,word,they,they
item_90,pronouns,heidän,heidän,produces,word,their,their
item_91,pronouns,minä,minä,produces,word,I,I
item_92,question_words,miksi,miksi,produces,word,why,why
item_93,prepositions,auki,auki,produces,word,turned on,open (description)
item_94,prepositions,pois,pois,produces,word,away,away
item_95,prepositions,ylös,ylös,produces,word,up,up
item_96,quantifiers,vähän,vähän,produces,word,few,few
item_97,quantifiers,monta,monta,produces,word,many,many
item_98,connecting_words,ja,ja,produces,word,and,and
item_99,connecting_words,koska,koska,produces,word,because,because
item_100,connecting_words,mutta,mutta,produces,word,but,but
