WS	TC	IC	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1			sounds	喂？		hello			
item_2			sounds	旺旺（狗叫）	woof woof	woof woof			
item_3			sounds	喵（猫叫）	meow	meow			
item_4			sounds	嘀嘀（汽车声）	vroom	vroom			
item_5			sounds	哎哟					
item_6			sounds	呀					
item_7			sounds	咩咩（羊叫声）	baa baa	baa baa			
item_8			sounds	嘎嘎（鸭子叫）	quack quack	quack quack			
item_9			sounds	嘎嘎达（鸡叫）			cluck	cluck	
item_10			sounds	梆梆（打枪）	bang	bang			
item_11			sounds	喳喳（鸟叫）	tweet tweet	tweet tweet			
item_12			sounds	嗷（狮子叫）	roar			roar	
item_13	item_99	item_198	people	妈妈	mommy	mommy			
item_14	item_84	item_197	people	爸爸	daddy	daddy			
item_15	item_101	item_202	people	奶奶	grandma	grandma			
item_16	item_97	item_210	people	姥姥	grandma	grandma			
item_17	item_108	item_203	people	爷爷	grandpa	grandpa			
item_18	item_98	item_211	people	姥爷	grandpa	grandpa			
item_19	item_85	item_199	people	宝宝	baby	baby			
item_20			people	自己的名字	child's own name	child's own name			
item_21	item_83	item_200	people	阿姨	aunt	aunt			
item_22	item_91	item_207	people	姑姑	aunt	aunt			
item_23	item_104	item_213	people	叔叔	uncle	uncle			
item_24			people	伯伯（大大）	uncle	uncle			
item_25	item_95	item_205	people	舅舅	uncle	uncle			
item_26	item_93	item_204	people	姐姐	sister	sister			
item_27	item_100	item_212	people	妹妹	sister	sister			
item_28	item_90	item_201	people	哥哥	brother	brother			
item_29	item_89	item_209	people	弟弟	brother	brother			
item_30			people	小朋友的名字		friends' names			
item_31			people	大妈					means 'aunt' as a general term for an older female
item_32			people	人	person	person			
item_33			people	孩子/小孩/小朋友		child			
item_34	item_103		people	女孩	girl	girl			
item_35	item_102		people	男孩	boy	boy			
item_36			people	男人	man	man			
item_37	item_96		people	老师	teacher	teacher			
item_38	item_94		people	警察	policeman	policeman			
item_39			people	医生/大夫		doctor			
item_40			people	唐老鸭			donald duck		Disney character
item_41			people	米老鼠			mickey mouse		Disney character
item_42			people	孙悟空			sun wukong		Traditional Chinese story character
item_43			people	猪八戒			zhu bajie		Traditional Chinese story character
item_44			people	朋友	friend	friend			
item_45	item_589	item_173	games_routines	要	want	want			
item_46	item_177	item_187	games_routines	不要	don't	don't			
item_47			games_routines	再见/Byebye	bye	bye			
item_48	item_200	item_184	games_routines	谢谢	thank you	thank you			
item_49			games_routines	撒尿/尿尿	pee	pee			
item_50			games_routines	拉屎/拉臭臭	poop	poop			
item_51	item_178	item_189	games_routines	吃饭	eat	eat			
item_52	item_197	item_186	games_routines	洗澡	bath	bath			
item_53			games_routines	休息/歇会儿	nap	nap			
item_54			games_routines	买(东西)	buy	buy			
item_55			games_routines	打（电话）	phone	call on phone			
item_56		item_183	games_routines	藏猫猫	hide and seek	hide and seek			
item_57			games_routines	抓（逮）住了!	catch	catch			
item_58			games_routines	你拍一，我拍一	clap	clap			
item_59	item_188	item_182	games_routines	你好	hello	hello			
item_60			games_routines	（某某某）好	hello	hello			
item_61	item_190		games_routines	请	please	please			
item_62			games_routines	(真)棒!			good job	bravo	
item_63			games_routines	好吧			ok	ok	
item_64	item_319	item_185	games_routines	是	yes	yes			
item_65			games_routines	对了					
item_66	item_301		games_routines	不行	cannot	cannot			can't?
item_67			games_routines	快点	fast	fast			
item_68			games_routines	等等	wait	wait			
item_69			games_routines	轻点	easy	easy			
item_70			games_routines	听话		listen			
item_71			games_routines	上学	go to school	go to school			
item_72			games_routines	一岁/两岁		years old			
item_73	item_490	item_151	action_words	抱	hug	hug			
item_74			action_words	拿（过来）		bring			
item_75			action_words	来	come	come			
item_76	item_599	item_168	action_words	走	walk	walk			
item_77	item_601	item_178	action_words	坐	sit	sit			
item_78	item_592		action_words	站	stand	stand			
item_79			action_words	蹲	squat	squat			
item_80			action_words	尿	pee	pee			
item_81			action_words	上	up	up			
item_82			action_words	下	down	down			
item_83	item_526	item_145	action_words	喝	drink (action)	drink (action)			
item_84	item_184	item_147	action_words	吃	eat	eat			
item_85	item_578	item_148	action_words	喂	feed	feed			
item_86	item_547	item_177	action_words	爬	climb	climb			
item_87	item_589	item_173	action_words	要	need	need			
item_88	item_591		action_words	有	have	have			
item_89	item_563	item_164	action_words	睡觉	sleep	sleep			
item_90			action_words	盖上	cover	cover (action)			
item_91	item_577	item_157	action_words	玩	play	play			
item_92			action_words	开（门）	open	open (action)			
item_93			action_words	关	close	close			
item_94	item_530		action_words	画画	draw	draw			
item_95	item_499	item_150	action_words	打	hit	hit			
item_96			action_words	背	back		carry	carry	
item_97	item_505		action_words	戴	wear	wear			
item_98	item_579	item_169	action_words	洗	wash	wash			
item_99	item_491	item_170	action_words	擦	wipe	wipe			
item_100			action_words	亲（一个）	kiss	kiss			
item_101	item_514	item_175	action_words	飞	fly	fly (action)			
item_102			action_words	亮了			brighten	brighten	
item_103	item_500	item_156	action_words	打开	open	open (action)			
item_104			action_words	起来	get up	get up			
item_105			action_words	剥	peel	peel			
item_106	item_535		action_words	叫	cry	cry			
item_107	item_539	item_154	action_words	看	look	look			
item_108	item_548	item_161	action_words	跑	run	run			
item_109	item_569	item_152	action_words	跳	jump	jump			
item_110	item_567		action_words	踢	kick	kick			
item_111			action_words	倒（水）	pour	pour			
item_112	item_542	item_174	action_words	买	buy	buy			
item_113	item_543		action_words	摸	touch	touch			
item_114	item_497		action_words	穿	wear	wear			
item_115	item_519	item_149	action_words	给	give	give			
item_116			action_words	送	send	send			
item_117			action_words	掉	drop	drop			
item_118	item_583	item_165	action_words	笑	smile	smile			
item_119	item_540	item_144	action_words	哭	cry	cry			
item_120			action_words	拍	clap	clap			
item_121	item_323		action_words	会	can	can (auxiliary)			
item_122	item_584	item_171	action_words	写	write	write			
item_123			action_words	躺		lie	lie	lie down	
item_124			action_words	趴		lie	lie	lie down	
item_125	item_550	item_160	action_words	骑	ride	ride			
item_126			action_words	开（车）	drive	drive			
item_127			action_words	蹦	hop	hop			
item_128			action_words	扫（地）	sweep	sweep			
item_129			action_words	去	go	go			
item_130	item_513	item_179	action_words	放	put	put			
item_131	item_588		action_words	咬	bite	bite			
item_132	item_556	item_167	action_words	扔	throw	throw			
item_133			action_words	吐	spit	spit			
item_134		item_162	action_words	说	say	say			
item_135	item_498	item_139	action_words	吹	blow	blow			
item_136	item_598		action_words	追	chase	chase			
item_137			action_words	摔		fall	fall		
item_138			action_words	是（什么）			be	be	
item_139	item_582		action_words	想	think	think			
item_140			action_words	知道	know	know			
item_141			action_words	梳	comb	comb (action)			
item_142			action_words	刷	brush	brush (action)			
item_143	item_495	item_163	action_words	唱	sing	sing			
item_144	item_571		action_words	听	hear	hear			
item_145	item_572		action_words	听见	hear	hear			
item_146			action_words	扎	prick	prick			
item_147	item_574		action_words	推	push	push			
item_148	item_532		action_words	捡	pick up	pick up			
item_149			action_words	找	look	look for			
item_150			action_words	倒了			fall	fall	
item_151			action_words	进去	enter	enter			
item_152			action_words	出去		leave	leave		
item_153			action_words	过			cross	cross	
item_154	item_606		action_words	回来			return	return	
item_155	item_603		action_words	踩	step	step			
item_156	item_493		action_words	藏	hide	hide			
item_157			action_words	拉/拽	pull	pull			
item_158			action_words	讲	tell	tell			
item_159			action_words	握（手）	shake	shake			
item_160	item_552	item_140	action_words	敲	knock	knock			
item_161			action_words	闭（眼、嘴）	close	close			
item_162	item_511		action_words	丢			lose	lose	
item_163	item_580		action_words	喜欢	love	like (action)			
item_164			action_words	动	move	move			
item_165	item_507	item_190	action_words	等	wait	wait			
item_166	item_585		action_words	醒	wake	wake			
item_167			action_words	滑		slide (action)	slide (action)		
item_168			action_words	切（菜）		cut	cut		
item_169			action_words	剪	cut	cut			
item_170	item_565		action_words	撕		tear	tear		
item_171	item_557		action_words	洒	splash	splash			
item_172			action_words	撒	spill	spill			
item_173			action_words	响			sound (action)	sound (action)	
item_174			action_words	接			receive	receive	
item_175			action_words	碰		hit	hit		
item_176			action_words	蹬		step	step		
item_177	item_594		action_words	抓	catch	catch			
item_178			action_words	搬		move	move		
item_179			action_words	端			carry	carry	
item_180			action_words	揉			rub	rub	
item_181			action_words	转		spin	spin		
item_182	item_487	item_155	action_words	爱	love	love			
item_183			action_words	乐（一个）	smile	smile			
item_184			action_words	数数	count	count			
item_185			action_words	磕		knock	knock		
item_186			action_words	翻	flip	flip			
item_187	item_531		action_words	夹		pick	pick		
item_188			action_words	闻	smell	smell			
item_189	item_494		action_words	尝	taste	taste			
item_190			action_words	咽	swallow	swallow			
item_191	item_602		action_words	做饭	cook	cook			
item_192	item_570	item_138	action_words	跳舞	dance	dance			
item_193			action_words	换			exchange	exchange	
item_194			action_words	抹（油等）			wipe	wipe	
item_195			action_words	装			fill	fill	
item_196			action_words	摘（揪）	pick	pick			
item_197			action_words	让	let	let			
item_198	item_586		action_words	修	fix	fix			
item_199			action_words	使劲			put in effort		not sure if we want this as a uni_lemma; GK: 'try' ?
item_200			action_words	举	lift	lift (action)			
item_201			action_words	挂	hang	hang			
item_202			action_words	滚	roll	roll (action)			
item_203			action_words	挖		dig	dig		
item_204			action_words	扶			support	support	
item_205			action_words	学	learn	learn			
item_206			action_words	记（得）	remember	remember			
item_207			action_words	打破/打碎	break	break			
item_208			action_words	扭	twist	twist			
item_209	item_573	item_166	action_words	停	stop	stop			
item_210			action_words	压		squeeze	squeeze		
item_211	item_597		action_words	撞	bump	bump (action)			
item_212			action_words	插	insert	insert			
item_213			action_words	搂	hug	hug			
item_214			action_words	带	bring	bring			
item_215			action_words	搭			ride	ride	for transportation, like "ride a bus"
item_216			action_words	跟着	follow	follow			
item_217			action_words	拨（电话）		call on phone			
item_218			action_words	逗			amuse	amuse	
item_219			action_words	排（队）	queue	queue			
item_220			action_words	干（什么）		do			
item_221			action_words	用	use	use			
item_222	item_568		action_words	舔	lick	lick			
item_223			action_words	嚼	chew	chew			
item_224			action_words	拐（弯）	turn	turn			
item_225			action_words	弯			bend	bend	
item_226	item_551		action_words	抢	grab	grab			
item_227			action_words	眨（眼）	blink	blink			
item_228			action_words	拧	wind	wind			
item_229			action_words	叫唤	shout	shout			
item_230			action_words	瞧	look	look			
item_231			action_words	弄		make	make		
item_232	item_590		action_words	游泳	swim	swim			
item_233			action_words	贴	stick	stick			
item_234			action_words	拔（草）		pick	pick		
item_235			action_words	长（大）			grow	grow	
item_236			action_words	套	cap	cover (action)			
item_237			action_words	拆	break	break			
item_238	item_512	item_159	action_words	读	read	read			
item_239			action_words	搁		put	put		
item_240			action_words	瞅	look	look			
item_241			action_words	逮（坏蛋）	catch	catch			
item_242			action_words	躲	hide	hide			
item_243			action_words	待（一会儿）	wait	wait			
item_244			action_words	嚷	shout	shout			
item_245			action_words	问	ask	ask			
item_246			action_words	告诉	tell	tell			
item_247			action_words	捋/挽（袖子）			tug	tug	
item_248			action_words	冲		rinse	rinse		
item_249			action_words	帮助/帮忙	help	help			
item_250	item_575		action_words	拖	pull	pull			
item_251			action_words	悠	swing (action)	swing (action)			
item_252			action_words	绑		tie	tie		
item_253			action_words	搅	stir	stir			
item_254			action_words	绕			go around	go around	or "circle (action)"
item_255			action_words	摁（按）	press	press			
item_256			action_words	做梦	dream	dream			
item_257	item_520		action_words	工作	work (action)	work (action)			
item_258			action_words	试	try	try			
item_259			action_words	卖	sell	sell			
item_260			action_words	掸掸			wipe	wipe	
item_261			action_words	收拾	tidy (action)	tidy (action)			
item_262			action_words	忘记			forget	forget	
item_263			action_words	假装	pretend	pretend			
item_264			action_words	希望			hope	hope	
item_265			action_words	抖搂		shake	shake		
item_266			action_words	蹭			rub	rub	
item_267	item_64	item_8	food_drink	水	water (beverage)	water (beverage)			
item_268	item_52	item_7	food_drink	牛奶	milk	milk			
item_269			food_drink	粥		porridge	porridge		
item_270	item_67		food_drink	汤	soup	soup			
item_271	item_66		food_drink	酸奶	yogurt	yogurt			
item_272			food_drink	乐百氏				kefir	(it's a type of dairy drink)
item_273	item_23		food_drink	果汁	juice	juice			
item_274	item_39		food_drink	可乐	coke	coke			
item_275	item_59		food_drink	汽水	soda	soda			
item_276	item_11		food_drink	茶	tea	tea			
item_277	item_79		food_drink	饮料	drink (beverage)	drink (beverage)			
item_278	item_17	item_15	food_drink	饭	food	food			
item_279			food_drink	米	rice	rice			
item_280	item_34	item_20	food_drink	饺子	dumpling	dumpling			
item_281	item_47	item_11	food_drink	面条	noodles	noodles		pasta	
item_282	item_3	item_19	food_drink	包子		bun	bun		
item_283	item_45	item_13	food_drink	馒头		bun	bun		
item_284	item_30		food_drink	馄饨	dumpling	dumpling			
item_285	item_61	item_6	food_drink	肉	meat	meat			
item_286	item_166	item_10	food_drink	鱼	fish (food)	fish (food)			
item_287			food_drink	蛋	egg	egg			
item_288			food_drink	虾			shrimp	shrimp (food)	
item_289	item_32		food_drink	鸡肉	chicken (food)	chicken (food)			
item_290			food_drink	肝儿（猪肝、鸡肝）			liver	liver (food)	
item_291	item_8	item_18	food_drink	菜	dish	dish			
item_292			food_drink	豆子		beans	beans		
item_293			food_drink	扁豆		beans	beans		
item_294			food_drink	豆芽			sprouts	sprouts	
item_295			food_drink	瓜	melon	melon			
item_296	item_1		food_drink	白菜	cabbage	cabbage			
item_297			food_drink	菠菜	spinach	spinach			
item_298	item_43	item_24	food_drink	萝卜	carrots	carrots			
item_299	item_70		food_drink	土豆	potato	potato			
item_300	item_73		food_drink	西红柿	tomato	tomato			
item_301	item_29	item_22	food_drink	黄瓜	cucumber	cucumber			
item_302	item_81		food_drink	玉米	corn	corn			
item_303	item_15	item_23	food_drink	豆腐	tofu	tofu			
item_304			food_drink	葱			scallion	scallion	
item_305	item_48		food_drink	蘑菇	mushrooms	mushroom			
item_306			food_drink	木耳		mushroom	mushroom		
item_307	item_65		food_drink	水果	fruit	fruit			
item_308	item_56	item_1	food_drink	苹果	apple	apple			
item_309	item_75	item_2	food_drink	香蕉	banana	banana			
item_310			food_drink	橘子	orange (food)	orange (food)			
item_311			food_drink	橙子	orange (food)	orange (food)			
item_312	item_57		food_drink	葡萄	grapes	grape			
item_313	item_72		food_drink	西瓜	watermelon	watermelon			
item_314	item_10	item_21	food_drink	草莓	strawberry	strawberry			
item_315	item_42	item_17	food_drink	梨	pear	pear			
item_316	item_68	item_14	food_drink	糖	sugar	sugar			
item_317			food_drink	饼	pancake	pancake			
item_318	item_7	item_5	food_drink	饼干	cookie	cookie			
item_319	item_46	item_3	food_drink	面包	bread	bread			
item_320	item_13	item_4	food_drink	蛋糕	cake	cake			
item_321	item_21		food_drink	果冻	jelly	jelly			
item_322	item_20		food_drink	瓜子			melon	melon	
item_323	item_28		food_drink	花生	peanut	peanut			
item_324	item_25		food_drink	核桃			walnut	walnut	
item_325	item_60		food_drink	巧克力	chocolate	chocolate			
item_326	item_63		food_drink	薯条	french fries	french fries			
item_327			food_drink	冰棍儿	popsicle	popsicle			
item_328			food_drink	糖葫芦			candied fruit		
item_329	item_6		food_drink	冰淇淋	ice cream	ice cream			
item_330	item_80		food_drink	油条			dough fritters	fritters	
item_331			food_drink	面/面粉			flour	flour	
item_332	item_41		food_drink	辣椒	pepper	pepper			
item_333	item_78		food_drink	盐	salty	salt			
item_334	item_12		food_drink	醋			vinegar	vinegar	
item_335	item_33		food_drink	酱油	sauce	sauce			
item_336	item_230	item_112	body_parts	头	head	head			
item_337			body_parts	脑袋			brain	brain	
item_338	item_231	item_108	body_parts	头发	hair	hair			
item_339	item_205	item_109	body_parts	脸	face	face			
item_340	item_207	item_106	body_parts	眼睛	eye	eye			
item_341	item_206		body_parts	眉毛	eyebrows	eyebrows			
item_342			body_parts	脸蛋	cheek	cheek			
item_343	item_217	item_107	body_parts	耳朵	ear	ear			
item_344	item_209	item_115	body_parts	鼻子	nose	nose			
item_345			body_parts	嘴（口）	mouth	mouth			
item_346	item_213		body_parts	嘴唇	lips	lips			
item_347	item_214	item_117	body_parts	牙	tooth	tooth			
item_348	item_215	item_116	body_parts	舌头	tongue	tongue			
item_349	item_216		body_parts	下巴	chin	chin			
item_350	item_218		body_parts	脖子	neck	neck			
item_351	item_222		body_parts	肩膀	shoulder	shoulder			
item_352	item_221		body_parts	胳膊	arm	arm			
item_353	item_227	item_111	body_parts	手	hand	hand			
item_354	item_228		body_parts	手指头	finger	finger			
item_355			body_parts	大拇指	thumb	thumb			
item_356	item_220	item_118	body_parts	肚子	tummy	tummy			
item_357			body_parts	肚脐眼	belly button	belly button			
item_358	item_226	item_119	body_parts	屁股	butt	butt			
item_359	item_238	item_113	body_parts	腿	leg	leg			
item_360			body_parts	脚/脚丫丫	foot	foot			
item_361	item_232		body_parts	膝盖	knee	knee			
item_362			body_parts	脚腕	ankle	ankle			
item_363	item_145	item_37	animals	猫	cat	cat			
item_364			animals	小白兔/兔子	bunny	bunny			
item_365	item_143	item_53	animals	马	horse	horse			
item_366	item_165	item_55	animals	羊	sheep	sheep			
item_367	item_132	item_39	animals	狗	dog	dog			
item_368	item_133	item_42	animals	猴子	monkey	monkey			
item_369	item_138	item_56	animals	老虎	tiger	tiger			
item_370	item_151	item_49	animals	牛	cow	cow			
item_371	item_162	item_57	animals	熊	bear	bear			
item_372	item_167	item_44	animals	猪	pig	pig			
item_373	item_127	item_51	animals	大象	elephant	elephant			
item_374	item_163		animals	熊猫	panda	panda			
item_375	item_156	item_54	animals	狮子	lion	lion			
item_376	item_139	item_43	animals	老鼠	mouse	mouse			
item_377			animals	猩猩			gorilla	gorilla	
item_378	item_141		animals	鹿	deer	deer			
item_379	item_137	item_58	animals	狼	wolf	wolf			
item_380	item_124		animals	斑马	zebra	zebra			
item_381	item_125		animals	长颈鹿	giraffe	giraffe			
item_382			animals	骆驼			camel	camel	
item_383			animals	刺猬	hedgehog	hedgehog			
item_384	item_128		animals	动物	animal	animal			
item_385	item_164	item_50	animals	鸭子	duck	duck			
item_386	item_150	item_38	animals	鸟	bird	bird			
item_387	item_160		animals	小鸡	chick	chick			
item_388			animals	燕子	swallow	swallow			
item_389	item_171		animals	鸽子	pigeon	pigeon			
item_390	item_129	item_52	animals	鹅	goose	goose			
item_391	item_152		animals	企鹅	penguin	penguin			
item_392			animals	喜鹊			magpie	magpie	
item_393			animals	孔雀	peacock	peacock			
item_394			animals	乌鸦	crow	crow			
item_395	item_140		animals	老鹰			eagle	eagle	
item_396	item_146		animals	猫头鹰	owl	owl			
item_397	item_166	item_10	animals	鱼	fish (animal)	fish (animal)			
item_398	item_126	item_45	animals	虫子	bug	bug			
item_399	item_159		animals	乌龟	turtle	turtle			
item_400	item_153	item_41	animals	青蛙	frog	frog			
item_401	item_144		animals	蚂蚁	ant	ant			
item_402			animals	龙	dragon	dragon			
item_403	item_134	item_47	animals	蝴蝶	butterfly	butterfly			
item_404	item_173		animals	蜻蜓	dragonfly	dragonfly			
item_405	item_174		animals	蚊子	mosquito	mosquito			
item_406	item_168		animals	苍蝇	fly	fly (animal)			
item_407	item_155		animals	蛇	snake	snake			
item_408	item_130		animals	鳄鱼	alligator	alligator			
item_409			animals	蛐蛐			cricket	cricket	
item_410			animals	恐龙	dinosaur	dinosaur			
item_411			animals	蟑螂	cockroach	cockroach			
item_412			descriptive_words	没了	all gone	all gone			
item_413	item_305	item_75	descriptive_words	大	big	big			
item_414	item_248	item_82	descriptive_words	小	little (description)	little (description)			
item_415	item_250	item_80	descriptive_words	好	good	good			
item_416		item_74	descriptive_words	坏	bad	bad			
item_417			descriptive_words	香			fragrant	fragrant	
item_418	item_303	item_89	descriptive_words	臭	smelly	smelly			
item_419	item_316	item_95	descriptive_words	烫	hot	hot			
item_420	item_279		descriptive_words	热	hot	hot			
item_421	item_270		descriptive_words	凉	cool	cool			
item_422	item_255		descriptive_words	冷	cold	cold			
item_423	item_302	item_90	descriptive_words	饱	full	full			
item_424	item_252	item_81	descriptive_words	饿	hungry	hungry			
item_425	item_256		descriptive_words	渴	thirsty	thirsty			
item_426	item_306	item_86	descriptive_words	甜	sweet	sweet			
item_427	item_313	item_87	descriptive_words	辣	spicy	spicy			
item_428			descriptive_words	酸	sour	sour			
item_429			descriptive_words	咸	salty	salty			
item_430	item_259	item_77	descriptive_words	脏	dirty	dirty			
item_431	item_311		descriptive_words	干净	clean (description)	clean (description)			
item_432	item_264	item_85	descriptive_words	害怕	scared	scared			
item_433			descriptive_words	疼	hurt	hurt (description)			
item_434	item_315	item_88	descriptive_words	乖			well-behaved	well-behaved	
item_435	item_282		descriptive_words	坏了	broken	broken			
item_436			descriptive_words	破了		broken			
item_437			descriptive_words	淘气（调皮）	naughty	naughty			
item_438	item_566		descriptive_words	讨厌		hate	hate		
item_439	item_251	item_79	descriptive_words	快	fast	fast			
item_440			descriptive_words	慢/慢点	slow	slow			
item_441			descriptive_words	可爱/好玩儿	cute	cute			
item_442			descriptive_words	可怜			pitiful	pitiful	
item_443	item_304		descriptive_words	累	tired	tired			
item_444			descriptive_words	困了	sleepy	sleepy			
item_445	item_273		descriptive_words	病	sick	sick			
item_446	item_262	item_92	descriptive_words	高	high	high			
item_447			descriptive_words	漂亮/美	pretty	pretty			
item_448	item_580		descriptive_words	喜欢	like	like (action)			
item_449	item_244		descriptive_words	新	new	new			
item_450	item_296		descriptive_words	老	old	old			
item_451			descriptive_words	高兴/乐/开心	happy	happy			
item_452			descriptive_words	生气	angry	angry			
item_453			descriptive_words	委屈			aggrieved	aggrieved	
item_454	item_271	item_73	descriptive_words	湿	wet	wet (description)			
item_455	item_246		descriptive_words	干	dry	dry (description)			
item_456			descriptive_words	响	loud	loud			
item_457	item_254		descriptive_words	长	long	long			
item_458	item_295		descriptive_words	硬	hard	hard			
item_459	item_277		descriptive_words	软	soft	soft			
item_460			descriptive_words	完了	finished	finished			
item_461			descriptive_words	够了	enough	enough			
item_462			descriptive_words	空	empty	empty			
item_463	item_269		descriptive_words	满	full	full			
item_464	item_291		descriptive_words	重	heavy	heavy			
item_465	item_275		descriptive_words	小心	careful	careful			
item_466			descriptive_words	不错					"not bad"
item_467			descriptive_words	粘糊	sticky	sticky			
item_468			descriptive_words	卡了			stuck	stuck	
item_469			descriptive_words	白	white	white			
item_470			descriptive_words	黑	black	black			
item_471			descriptive_words	红（色）	red	red			
item_472			descriptive_words	绿	green	green			
item_473			descriptive_words	黄	yellow	yellow			
item_474			descriptive_words	蓝（色）	blue	blue			
item_475			descriptive_words	黑乎乎	dark	dark			
item_476	item_309		descriptive_words	第一	first	first			
item_477	item_307		descriptive_words	最后	last	last			
item_478	item_404	item_120	household	碗	bowl	bowl			
item_479	item_364	item_124	household	杯子	cup	cup			
item_480	item_388		household	瓶子	bottle	bottle			
item_481			household	勺	spoon	spoon			
item_482	item_380	item_135	household	筷子	chopstick	chopstick			
item_483			household	盘	plate	plate			
item_484	item_374		household	锅	pot	pot			
item_485	item_367		household	刀	knife	knife			
item_486			household	茶杯	teacup	cup			
item_487	item_368	item_125	household	灯	lamp	lamp			
item_488			household	钟/表	clock	clock			
item_489	item_619	item_132	household	电话	phone	telephone			
item_490			household	电扇	electric fan	fan			
item_491	item_423		household	电池	battery	battery			
item_492	item_394		household	手表	watch (object)	watch (object)			
item_493			household	收音机	radio	radio			
item_494	item_412		household	照相机	camera	camera			
item_495			household	（钢）琴	piano	piano			
item_496			household	录音机	voice recorder	voice recorder			
item_497			household	音响			speaker	speaker	
item_498			household	VCD机					maybe this needs updating at some point
item_499	item_365	item_133	household	被子		blanket			
item_500	item_414	item_129	household	枕头	pillow	pillow			
item_501	item_410	item_126	household	药	medicine	medicine			
item_502			household	梳子/栊子	comb (object)	comb (object)			
item_503			household	盆	basin	basin			
item_504			household	肥皂/香皂	soap	soap			
item_505	item_407		household	牙刷	toothbrush	toothbrush			
item_506	item_383		household	毛巾	towel	towel			
item_507			household	手纸	tissue	tissue			
item_508	item_377		household	画	picture	picture			
item_509	item_415	item_128	household	纸	paper	paper			
item_510	item_378		household	剪刀	scissors	scissors			
item_511			household	绳		rope	rope		
item_512	item_408		household	眼镜	glasses	glasses			
item_513	item_422		household	报纸	newspaper	newspaper			
item_514	item_411		household	钥匙	keys	keys			
item_515	item_389	item_127	household	钱	money	money			
item_516			household	包	bag	bag			
item_517	item_395	item_134	household	书包	bag	bag			
item_518	item_390	item_130	household	钱包	purse	purse			
item_519			household	口袋			pocket	pocket	
item_520			household	扇子	fan	fan			
item_521			household	（抹）布	cloth	cloth			
item_522	item_375	item_121	household	盒子	box	box			
item_523			household	篮子	basket	basket			
item_524	item_402		household	桶	bucket	bucket			
item_525	item_397		household	刷子	brush	brush (object)			
item_526			household	笤帚		broom	broom		
item_527			household	托把/墩布	rag	rag			
item_528	item_381		household	垃圾	trash	trash			
item_529			household	簸箕		dustpan	dustpan		
item_530			household	锤子	hammer	hammer			
item_531	item_369		household	钉子	nail	nail (object)			
item_532			household	木头			wood	wood	
item_533			household	东西			thing	thing	
item_534	item_476		toys	球	ball	ball			
item_535	item_478	item_227	toys	书	book	book			
item_536			toys	小娃娃	doll	doll			
item_537	item_462	item_231	toys	笔	pen	pen			
item_538		item_229	toys	汽球	balloon	balloon			
item_539			toys	枪	gun	gun			
item_540	item_467	item_232	toys	积木	block	block			
item_541	item_480		toys	玩具	toy (object)	toy (object)			
item_542	item_465		toys	故事	story	story			
item_543	item_483		toys	风筝	kite	kite			
item_544			toys	歌	song	song			
item_545			toys	铃铛	bell	bell			
item_546	item_474		toys	铅笔	pencil	pencil			
item_547	item_469		toys	蜡笔	crayon	crayon			
item_548			toys	车轮/轱辘	wheel	wheel			
item_549	item_482		toys	游戏	game	game			
item_550			toys	棋子			chess	chess	
item_551	item_470		toys	礼物	present	present			
item_552	item_652	item_220	clothing	帽子	hat	hat			
item_553	item_650		clothing	手套	gloves	gloves			
item_554	item_662		clothing	围巾	scarf	scarf			
item_555			clothing	手绢			handkerchief	handkerchief	
item_556			clothing	围嘴	bib	bib			
item_557	item_663		clothing	项链	necklace	necklace			
item_558			clothing	衣服/衣裳	clothes	clothes			
item_559			clothing	大衣/外套	coat	coat			
item_560			clothing	棉袄		jacket	jacket		
item_561			clothing	夹克	jacket	jacket			
item_562	item_645		clothing	毛衣	sweater	sweater			
item_563			clothing	背心	vest	vest			
item_564			clothing	上衣	shirt	shirt			
item_565			clothing	（裤）兜			pocket	pocket	
